Tanggal : 25-04-2022 20:41:09 | Waktu Scraping Liputan6.com : 56.604419469833374 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 25-04-2022 20:41:09 | Waktu Scraping Tribunnews.com : 5.138314247131348 detik | Banyak row : 52 | Banyak column : 7 
Tanggal : 25-04-2022 20:41:09 | Waktu Scraping Detik.com : 101.22533893585205 detik | Banyak row : 46 | Banyak column : 7 
Tanggal : 25-04-2022 20:41:09 | Waktu Scraping Total Waktu Scraping Ketiga Website : 162.96807265281677 detik | Banyak row : 182 | Banyak column : 7.0 
Tanggal : 25-04-2022 21:41:10 | Waktu Scraping Liputan6.com : 56.068495750427246 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 25-04-2022 21:41:10 | Waktu Scraping Tribunnews.com : 5.392768144607544 detik | Banyak row : 52 | Banyak column : 7 
Tanggal : 25-04-2022 21:41:10 | Waktu Scraping Detik.com : 103.13008666038513 detik | Banyak row : 42 | Banyak column : 7 
Tanggal : 25-04-2022 21:41:10 | Waktu Scraping Total Waktu Scraping Ketiga Website : 164.59135055541992 detik | Banyak row : 178 | Banyak column : 7.0 
Tanggal : 25-04-2022 22:41:12 | Waktu Scraping Liputan6.com : 61.75189232826233 detik | Banyak row : 84 | Banyak column : 7 
Tanggal : 25-04-2022 22:41:12 | Waktu Scraping Tribunnews.com : 5.207215070724487 detik | Banyak row : 51 | Banyak column : 7 
Tanggal : 25-04-2022 22:41:12 | Waktu Scraping Detik.com : 107.0391411781311 detik | Banyak row : 45 | Banyak column : 7 
Tanggal : 25-04-2022 22:41:12 | Waktu Scraping Total Waktu Scraping Ketiga Website : 173.99824857711792 detik | Banyak row : 180 | Banyak column : 7.0 
Tanggal : 25-04-2022 23:41:13 | Waktu Scraping Liputan6.com : 56.968576431274414 detik | Banyak row : 82 | Banyak column : 7 
Tanggal : 25-04-2022 23:41:13 | Waktu Scraping Tribunnews.com : 5.062346458435059 detik | Banyak row : 50 | Banyak column : 7 
Tanggal : 25-04-2022 23:41:13 | Waktu Scraping Detik.com : 107.45409941673279 detik | Banyak row : 42 | Banyak column : 7 
Tanggal : 25-04-2022 23:41:13 | Waktu Scraping Total Waktu Scraping Ketiga Website : 169.48502230644226 detik | Banyak row : 174 | Banyak column : 7.0 
Tanggal : 26-04-2022 00:41:15 | Waktu Scraping Liputan6.com : 57.67060828208923 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 26-04-2022 00:41:15 | Waktu Scraping Tribunnews.com : 5.079657554626465 detik | Banyak row : 56 | Banyak column : 7 
Tanggal : 26-04-2022 00:41:15 | Waktu Scraping Detik.com : 112.47320699691772 detik | Banyak row : 43 | Banyak column : 7 
Tanggal : 26-04-2022 00:41:15 | Waktu Scraping Total Waktu Scraping Ketiga Website : 175.22347283363342 detik | Banyak row : 182 | Banyak column : 7.0 
Tanggal : 26-04-2022 01:41:16 | Waktu Scraping Liputan6.com : 57.258766889572144 detik | Banyak row : 82 | Banyak column : 7 
Tanggal : 26-04-2022 01:41:16 | Waktu Scraping Tribunnews.com : 5.336671829223633 detik | Banyak row : 56 | Banyak column : 7 
Tanggal : 26-04-2022 01:41:16 | Waktu Scraping Detik.com : 106.72727298736572 detik | Banyak row : 47 | Banyak column : 7 
Tanggal : 26-04-2022 01:41:16 | Waktu Scraping Total Waktu Scraping Ketiga Website : 169.3227117061615 detik | Banyak row : 185 | Banyak column : 7.0 
Tanggal : 26-04-2022 02:41:18 | Waktu Scraping Liputan6.com : 57.67327404022217 detik | Banyak row : 83 | Banyak column : 7 
Tanggal : 26-04-2022 02:41:18 | Waktu Scraping Tribunnews.com : 5.204517126083374 detik | Banyak row : 55 | Banyak column : 7 
Tanggal : 26-04-2022 02:41:18 | Waktu Scraping Detik.com : 113.87083888053894 detik | Banyak row : 53 | Banyak column : 7 
Tanggal : 26-04-2022 02:41:18 | Waktu Scraping Total Waktu Scraping Ketiga Website : 176.74863004684448 detik | Banyak row : 191 | Banyak column : 7.0 
Tanggal : 26-04-2022 03:41:20 | Waktu Scraping Liputan6.com : 56.14643478393555 detik | Banyak row : 81 | Banyak column : 7 
Tanggal : 26-04-2022 03:41:20 | Waktu Scraping Tribunnews.com : 4.950884580612183 detik | Banyak row : 59 | Banyak column : 7 
Tanggal : 26-04-2022 03:41:20 | Waktu Scraping Detik.com : 107.59152579307556 detik | Banyak row : 48 | Banyak column : 7 
Tanggal : 26-04-2022 03:41:20 | Waktu Scraping Total Waktu Scraping Ketiga Website : 168.6888451576233 detik | Banyak row : 188 | Banyak column : 7.0 
Tanggal : 26-04-2022 04:41:21 | Waktu Scraping Liputan6.com : 56.0642945766449 detik | Banyak row : 81 | Banyak column : 7 
Tanggal : 26-04-2022 04:41:21 | Waktu Scraping Tribunnews.com : 5.543941020965576 detik | Banyak row : 62 | Banyak column : 7 
Tanggal : 26-04-2022 04:41:21 | Waktu Scraping Detik.com : 110.36436915397644 detik | Banyak row : 50 | Banyak column : 7 
Tanggal : 26-04-2022 04:41:21 | Waktu Scraping Total Waktu Scraping Ketiga Website : 171.9726047515869 detik | Banyak row : 193 | Banyak column : 7.0 
Tanggal : 26-04-2022 05:41:22 | Waktu Scraping Liputan6.com : 50.83694672584534 detik | Banyak row : 75 | Banyak column : 7 
Tanggal : 26-04-2022 05:41:22 | Waktu Scraping Tribunnews.com : 7.337573766708374 detik | Banyak row : 56 | Banyak column : 7 
Tanggal : 26-04-2022 05:41:22 | Waktu Scraping Detik.com : 115.08733248710632 detik | Banyak row : 52 | Banyak column : 7 
Tanggal : 26-04-2022 05:41:22 | Waktu Scraping Total Waktu Scraping Ketiga Website : 173.26185297966003 detik | Banyak row : 183 | Banyak column : 7.0 
Tanggal : 26-04-2022 07:41:38 | Waktu Scraping Liputan6.com : 49.07321047782898 detik | Banyak row : 72 | Banyak column : 7 
Tanggal : 26-04-2022 07:41:38 | Waktu Scraping Tribunnews.com : 6.861079692840576 detik | Banyak row : 61 | Banyak column : 7 
Tanggal : 26-04-2022 07:41:38 | Waktu Scraping Detik.com : 112.4170594215393 detik | Banyak row : 51 | Banyak column : 7 
Tanggal : 26-04-2022 07:41:38 | Waktu Scraping Total Waktu Scraping Ketiga Website : 168.35134959220886 detik | Banyak row : 184 | Banyak column : 7.0 
Tanggal : 26-04-2022 08:41:45 | Waktu Scraping Liputan6.com : 51.745930671691895 detik | Banyak row : 77 | Banyak column : 7 
Tanggal : 26-04-2022 08:41:45 | Waktu Scraping Tribunnews.com : 5.058050155639648 detik | Banyak row : 57 | Banyak column : 7 
Tanggal : 26-04-2022 08:41:45 | Waktu Scraping Detik.com : 115.69283509254456 detik | Banyak row : 52 | Banyak column : 7 
Tanggal : 26-04-2022 08:41:45 | Waktu Scraping Total Waktu Scraping Ketiga Website : 172.4968159198761 detik | Banyak row : 186 | Banyak column : 7.0 
Tanggal : 26-04-2022 09:41:27 | Waktu Scraping Liputan6.com : 53.108410358428955 detik | Banyak row : 75 | Banyak column : 7 
